user_id,product_id,rating
1,17789,2
1,18037,4
1,17758,4
1,17965,4
1,17898,5
1,21380,1
1,17705,3
1,18073,3
1,17961,4
1,17962,4
1,20115,2
1,18021,4
1,18087,2
1,18043,3
1,17739,4
1,21196,1
1,17955,4
1,19512,4
1,17966,4
1,17929,2
1,18058,5
1,21632,4
1,18038,3
1,18027,3
1,17922,5
1,18072,1
1,18058,5
1,17900,2
1,18056,5
1,18011,1
1,17917,5
1,18034,1
1,18028,3
1,21643,2
1,21599,5
1,17709,2
1,19329,5
1,18031,2
1,18071,1
1,17933,2
1,20645,4
1,17925,2
1,17924,3
1,18019,4
1,18085,2
1,18022,4
1,17963,2
1,17756,1
1,20114,4
1,17734,5
1,17959,3
1,17801,4
1,17949,5
1,17878,1
1,17942,4
1,18021,4
1,17912,1
1,17935,4
1,17927,4
1,17907,5
1,17950,4
1,17837,4
1,17967,5
1,18091,1
1,18040,2
1,17947,4
1,18064,2
1,18069,1
1,17825,4
1,21511,2
1,21235,2
1,18057,3
1,17936,5
1,21595,3
1,18074,5
1,17726,1
1,17997,5
1,19369,5
1,17910,1
1,18045,4
1,17868,3
1,17996,2
1,18025,3
1,17920,4
1,19171,2
1,20936,4
1,19514,2
1,18024,3
1,17954,1
1,18019,5
1,17966,2
1,20370,4
1,20647,3
1,20260,2
1,17988,5
1,18062,2
1,18007,2
1,17916,4
1,17967,3
1,18044,4
1,18060,3
1,17939,5
1,18057,4
1,18030,4
1,20402,2
1,19338,5
1,18048,1
1,21512,2
1,17939,5
1,17906,1
1,17988,4
1,17810,3
1,17956,5
1,18043,3
1,17994,4
1,17956,4
1,18076,2
1,17783,3
1,17935,5
1,18027,2
1,20276,2
1,17869,2
1,17997,4
1,18009,5
1,19369,4
1,20428,2
1,17949,1
1,17978,2
1,21226,4
1,17992,5
1,17736,1
1,17875,3
1,17968,4
1,17907,2
1,18032,5
1,18002,4
1,20260,1
1,17877,5
1,18068,2
2,17777,2
2,17922,1
2,17936,3
2,19369,4
2,18054,3
2,18052,4
2,18010,5
2,17742,4
2,17900,3
2,19378,2
2,17766,5
2,17997,2
2,19516,5
2,18085,1
2,18071,5
